date,^GSPC,GLD,^TNX,DX-Y.NYB
2004-11-18,1183.550048828125,44.380001068115234,4.117000102996826,83.69000244140625
2004-11-19,1170.3399658203125,44.779998779296875,4.196000099182129,83.30999755859375
2004-11-22,1177.239990234375,44.95000076293945,4.164999961853027,83.19000244140625
2004-11-23,1176.93994140625,44.75,4.184000015258789,82.97000122070312
2004-11-24,1181.760009765625,45.04999923706055,4.195000171661377,82.41000366210938
2004-11-25,1181.760009765625,45.04999923706055,4.195000171661377,82.18000030517578
2004-11-26,1182.6500244140625,45.290000915527344,4.23799991607666,81.77999877929688
2004-11-29,1178.5699462890625,45.400001525878906,4.329999923706055,81.93000030517578
2004-11-30,1173.8199462890625,45.119998931884766,4.357999801635742,81.81999969482422
2004-12-01,1191.3699951171875,45.380001068115234,4.375,81.55999755859375
2004-12-02,1190.3299560546875,44.95000076293945,4.396999835968018,81.94999694824219
2004-12-03,1191.1700439453125,45.599998474121094,4.269999980926514,80.9800033569336
2004-12-06,1190.25,45.16999816894531,4.239999771118164,81.27999877929688
2004-12-07,1177.0699462890625,45.11000061035156,4.2270002365112305,81.23999786376953
2004-12-08,1182.81005859375,44.0099983215332,4.133999824523926,81.9000015258789
2004-12-09,1189.239990234375,43.779998779296875,4.160999774932861,82.02999877929688
2004-12-10,1188.0,43.439998626708984,4.156000137329102,82.55000305175781
2004-12-13,1198.6800537109375,43.90999984741211,4.151000022888184,82.0999984741211
2004-12-14,1203.3800048828125,43.54999923706055,4.131999969482422,82.31999969482422
2004-12-15,1205.719970703125,43.9900016784668,4.076000213623047,81.62999725341797
2004-12-16,1203.2099609375,43.68000030517578,4.184999942779541,82.5
2004-12-17,1194.199951171875,44.189998626708984,4.206999778747559,82.16000366210938
2004-12-20,1194.6500244140625,44.34000015258789,4.198999881744385,81.66999816894531
2004-12-21,1205.449951171875,44.220001220703125,4.168000221252441,81.94000244140625
2004-12-22,1209.5699462890625,44.02000045776367,4.201000213623047,81.93000030517578
2004-12-23,1210.1300048828125,44.27000045776367,4.2179999351501465,81.33999633789062
2004-12-24,1210.1300048828125,44.27000045776367,4.2179999351501465,81.22000122070312
2004-12-27,1204.9200439453125,44.47999954223633,4.290999889373779,80.72000122070312
2004-12-28,1213.5400390625,44.369998931884766,4.290999889373779,80.72000122070312
2004-12-29,1213.449951171875,43.65999984741211,4.322000026702881,80.97000122070312
2004-12-30,1213.550048828125,43.83000183105469,4.263000011444092,80.52999877929688
2004-12-31,1211.9200439453125,43.79999923706055,4.216000080108643,80.8499984741211
2005-01-03,1202.0799560546875,43.02000045776367,4.21999979019165,81.30000305175781
2005-01-04,1188.050048828125,42.7400016784668,4.2829999923706055,82.56999969482422
2005-01-05,1183.739990234375,42.66999816894531,4.2769999504089355,82.54000091552734
2005-01-06,1187.8900146484375,42.150001525878906,4.271999835968018,83.1500015258789
2005-01-07,1186.18994140625,41.84000015258789,4.284999847412109,83.61000061035156
2005-01-10,1190.25,41.95000076293945,4.2779998779296875,83.29000091552734
2005-01-11,1182.989990234375,42.209999084472656,4.24399995803833,83.0199966430664
2005-01-12,1187.699951171875,42.599998474121094,4.236000061035156,82.13999938964844
2005-01-13,1177.449951171875,42.599998474121094,4.186999797821045,82.51000213623047
2005-01-14,1184.52001953125,42.31999969482422,4.216000080108643,83.05999755859375
2005-01-17,1184.52001953125,42.31999969482422,4.216000080108643,83.05999755859375
2005-01-18,1195.97998046875,42.31999969482422,4.195000171661377,83.36000061035156
2005-01-19,1184.6300048828125,42.2599983215332,4.186999797821045,83.5999984741211
2005-01-20,1175.4100341796875,42.25,4.164999961853027,83.83999633789062
2005-01-21,1167.8699951171875,42.7400016784668,4.142000198364258,83.26000213623047
2005-01-24,1163.75,42.77000045776367,4.122000217437744,83.23999786376953
2005-01-25,1168.4100341796875,42.2400016784668,4.189000129699707,83.98999786376953
2005-01-26,1174.0699462890625,42.689998626708984,4.191999912261963,83.30000305175781
2005-01-27,1174.550048828125,42.619998931884766,4.206999778747559,83.43000030517578
2005-01-28,1171.3599853515625,42.689998626708984,4.138000011444092,83.4800033569336
2005-01-31,1181.27001953125,42.220001220703125,4.132999897003174,83.5999984741211
2005-02-01,1189.4100341796875,42.099998474121094,4.136000156402588,83.44999694824219
2005-02-02,1193.18994140625,42.15999984741211,4.139999866485596,83.5199966430664
2005-02-03,1189.8900146484375,41.68000030517578,4.163000106811523,83.97000122070312
2005-02-04,1203.030029296875,41.470001220703125,4.072999954223633,84.38999938964844
2005-02-07,1201.719970703125,41.27000045776367,4.052000045776367,85.04000091552734
2005-02-08,1202.300048828125,41.2599983215332,4.0370001792907715,85.0999984741211
2005-02-09,1191.989990234375,41.310001373291016,3.9769999980926514,85.0199966430664
2005-02-10,1197.010009765625,41.75,4.072999954223633,84.54000091552734
2005-02-11,1205.300048828125,42.08000183105469,4.09499979019165,84.56999969482422
2005-02-14,1206.1400146484375,42.54999923706055,4.072999954223633,83.95999908447266
2005-02-15,1210.1199951171875,42.58000183105469,4.0980000495910645,83.58999633789062
2005-02-16,1210.3399658203125,42.52000045776367,4.1579999923706055,83.66999816894531
2005-02-17,1200.75,42.72999954223633,4.184999942779541,83.47000122070312
2005-02-18,1201.5899658203125,42.75,4.260000228881836,83.48999786376953
2005-02-21,1201.5899658203125,42.75,4.260000228881836,83.55000305175781
2005-02-22,1184.1600341796875,43.56999969482422,4.284999847412109,82.41000366210938
2005-02-23,1190.800048828125,43.41999816894531,4.26800012588501,82.68000030517578
2005-02-24,1200.199951171875,43.33000183105469,4.281000137329102,82.87999725341797
